Year,Position,Country,Genre,nameSong
1960,24,Brazil,singer-songwriter,PorQuemSonhaAnaMaria?-JucaChaves
1960,28,Unknown,Unknown,ÓCrides-RonaldGolias
1960,89,Brazil,bossa nova,OQueTinhaDeSer-SylviaTelles
1960,95,Portugal,portuguese,MorrerPorTi-OswaldoRodrigues
1961,39,United States,blues,G.i.blues-ElvisPresley
1961,50,Brazil,forró,Dinah-ClérioMorais
1961,71,Unknown,Unknown,AnalfabetaEmAmor-EllenDeLima
1961,98,Unknown,Unknown,NäoSouDeNada-FernandoCosta
1962,30,Unknown,Unknown,Amargura-EllenDeLima
1962,37,United Kingdom,easy listening,StrangerOnTheShore-Mr.AckerBilk
1962,62,Unknown,Unknown,AmorEmChaChaCha-FernandoCosta
1962,67,Germany,Unknown,Negadocongo-WalterLevita
1962,91,United States,Unknown,IKnow(youDon’tLoveMeNoMore)-BarbaraGeorge
1962,95,Brazil,Unknown,OArlequimDeToledo(l’arlequinDeTolede)-AngelaMaria
1963,13,Unknown,Unknown,TemBoboPraTudo-AlcidesGerardi
1963,66,Brazil,Unknown,VoltePraCasa-NoiteIlustrada
1963,68,Unknown,Unknown,TemBoboPraTudo-IsauraGarcia
1963,79,United States,pop rock,BigGirlsDon’tCry-FrankieValliAndTheFourSeasons
1963,87,Brazil,Unknown,SambaDeUmaNotaSó-RadamésGnatalli
1963,94,United States,pop,Gina-JohnnyMathis
1964,11,Brazil,singer-songwriter,Doceamargura-MoacyrFranco
1964,24,Brazil,brazilian,Tudodemim-AltemarDutra
1964,33,United States,pop,IgualATiNãoHáNinguém(ComeTeNonC’ENessuno)-Rosemary
1964,37,Brazil,brazilian,Meninodaslaranjas-ElisRegina
1964,62,United States,pop,ThereI’veSaidItAgain-BobbyVinton
1964,65,Brazil,jovem guarda,Deixepramimaculpa-AgnaldoRayol
1964,96,Unknown,Unknown,Ifihadahammer-PriniLorenz
1965,31,United Kingdom,singer,Prelude/TheSoundofMusic-JulieAndrews
1965,40,United States,rock,Mr.TambourineMan-TheByrds
1965,41,Brazil,Unknown,OEscândalo(ShameandScandalInTheFamily)-RenatoeSeusBlueCaps
1965,46,Jamaica,jamaican songwriter,MyBoyLollipop-MillieSmall
1965,50,Italy,film composer,Acasad’Irene-NicoFidenco
1965,65,Brazil,Unknown,Afinalchegou(DiggedleBoeing)-OsVips
1965,66,Brazil,Unknown,SeOSeuAmorFosseP’raMim(ForLovin’Me)-TrioMelodia
1965,75,Brazil,jovem guarda,APraia(LaPlaya)-AgnaldoRayol
1966,14,United States,big band,Coruja-DneyeDino
1966,23,Brazil,Unknown,NãoDigaNada(NonDirmiNiente)-Joelma
1966,39,Italy,pop,IlMondo-JimmyFontana
1966,42,France,pop,LaBoheme-CharlesAznavour
1966,100,Brazil,instrumental rock,VaiSerBom(CaSeraitBeau)-TheFevers
1967,58,Brazil,Unknown,BarraLimpa-Martinha
1967,64,Italy,singer-songwriter,C’eraunragazzochecomeme…-GianniMorandi&ClaudioBaglioni
1967,75,Brazil,mpb,MúsicaParaVerAGarotaPassar-RonnieVon
1967,88,Unknown,Unknown,Eusóquerover-DenyeDino
1967,99,Brazil,singer-songwriter,Meuboi-ZéFidélis
1968,14,United States,seven,Mrs.Robinson-Simon&Garfunkel
1968,33,United States,country soul,LittleGreenApples-O.C.Smith
1969,48,United States,country soul,LittleGreenApples-O.C.Smith
1969,4,United States,pop,Aquarius/LetTheSunshineIn-TheFifthDimension
1969,68,Brazil,singer-songwriter,Sentinela-MiltonNascimentoeNanaCaynni
1969,84,United States,1960s,"1,2,3,RedLight-1910FruitgumCompany"
1970,8,Unknown,Unknown,RaindropsKeepFallin’OnMyHead-B.J.Thomas
1970,22,Brazil,pop,Oamoréomeupais-IvanLins
1970,86,United States,soul,TakeALetterMaria-R.B.Greaves
1970,99,United States,hip hop rnb and dance hall,TheOriginals-BabyI’mforreal
1971,6,United States,rock,HaveYouEverSeenTheRain?-CreedenceClearwaterRevival
1971,17,Brazil,Unknown,ATongaDaMirongaDoKabuletê-ToquinhoeViniciusdeMoraes
1971,35,United Kingdom,aln-sh,Mother-JohnLennon/PlasticOnoBand
1971,53,Brazil,singer-songwriter,BaladaNº7-MoacyrFranco
1971,57,United States,rock,"Ohme,Ohmy-B.J.Thomas"
1971,58,United Kingdom,pop,SanctusSanctusHalleluiah.-BarryRyan
1971,62,United States,easy listening,Lookaround(You’llfindmethere)-AlMartino
1971,89,Brazil,bossa nova,PraComeçodeAssunto-ElizabethCardoso
1971,94,United States,classic pop and rock,Mr.BigStuff-JeanKnight
1972,5,Unknown,Unknown,RockAndRollLullaby-B.J.Thomas
1972,34,Netherlands,country,There’sNoMoreCornOnTheBrasos-TheWalkers
1972,63,Brazil,Unknown,Essemarémeu-ElianaPittman
1972,97,Brazil,Unknown,HojeAindaéDiadeRock-Sá&Guarabyra
1973,20,United States,soul,MeAndMrs.Jones-BillyPaul
