musica_buscada,titulo_video_encontrado,status,busca_limpa,titulo_limpo,similaridade
Главное ребята сердцем не стареть А. Пахмутова,"Александра Пахмутова. Главное, ребята, сердцем не стареть. Поет Владислав Коннов (1977)",Sucesso (Verificado),главное ребята сердцем не стареть а пахмутова,александра пахмутова главное ребята сердцем не стареть поет владислав коннов,98
"Гори, гори, моя звезда Пётр Булахов",Булахов Чуевский Гори гори моя звезда Сергей Лемешев 1940,Sucesso (Verificado),гори гори моя звезда пётр булахов,булахов чуевский гори гори моя звезда сергей лемешев 1940,90
Джон Грей Матвей Блантер,"""ДЖОН ГРЕЙ"" - Матвей Блантер, Владимир Масс. Поет Даниил Кручинин",Sucesso (Verificado),джон грей матвей блантер,джон грей матвей блантер владимир масс поет даниил кручинин,100
Дорогие мои москвичи И. Дунаевский,И.Дунаевский - Дорогие мои москвичи,Sucesso (Verificado),дорогие мои москвичи и дунаевский,идунаевский дорогие мои москвичи,95
Закон Архимеда наоборот В. Людвиковский,Закон Архимеда наоборот,Sucesso (Verificado),закон архимеда наоборот в людвиковский,закон архимеда наоборот,100
Колыбельная И. Дунаевский,Дунаевский КОЛЫБЕЛЬНАЯ.wmv,Sucesso (Verificado),колыбельная и дунаевский,дунаевский колыбельнаяwmv,90
Ландыши О. Фельцман,Ландыши – О. Фельцман,Sucesso (Verificado),ландыши о фельцман,ландыши о фельцман,100
Любимый город,Любимый город,Sucesso (Verificado),любимый город,любимый город,100
Люблю / Вдыхая розы аромат Ефим Розенфельд,Люблю / Вдыхая розы аромат (муз. Ефима Розенфельда - ст. Н. Венгерской),Sucesso (Verificado),люблю вдыхая розы аромат ефим розенфельд,люблю вдыхая розы аромат,100
Нам нужна одна победа,Нам нужна одна Победа | We Need One Victory【Russian Airborne March】,Sucesso (Verificado),нам нужна одна победа,нам нужна одна победа we need one victoryrussian airborne march,100
Песенка о медведях А. Зацепин,"Песенка о медведях (из кинофильма ""Кавказская пленница"")",Sucesso (Verificado),песенка о медведях а зацепин,песенка о медведях,100
Радостный день А. Цфасман,11 - Александр Цфасман - Радостный день / Alexander Tsfasman - A Joyful Day,Sucesso (Verificado),радостный день а цфасман,11 александр цфасман радостный день alexander tsfasman a joyful day,96
Серенада Трубадура «Луч солнца золотого…» Геннадий Гладков,Луч солнца золотого. Серенада Трубадура (из м/ф...,Sucesso (Verificado),серенада трубадура луч солнца золотого геннадий гладков,луч солнца золотого серенада трубадура из мф,93
Старый рояль Марк Минков,"""Старый рояль"" ( музыка-Марк Минков, слова-А.Иванов)",Sucesso (Verificado),старый рояль марк минков,старый рояль,100
Сердце / Как много девушек хороших Василий Лебедев-Кумач,"Как много девушек хороших Стихи: Василий Лебедев-Кумач  1934  Исполняет группа  ""Премьер-Министр""",Sucesso (Verificado),сердце как много девушек хороших василий лебедевкумач,как много девушек хороших стихи василий лебедевкумач 1934 исполняет группа премьерминистр,93
Цветущий Май А. Полонский,ЦВЕТУЩИЙ МАЙ фокстрот Артур Полонский,Sucesso (Verificado),цветущий май а полонский,цветущий май фокстрот артур полонский,96
Эти глаза напротив Д. Тухманов,Эти глаза напротив,Sucesso (Verificado),эти глаза напротив д тухманов,эти глаза напротив,100
Шаланды Никита Богословский,"Никита Богословский. Шаланды, полные кефали. Поет Марк Бернес",Sucesso (Verificado),шаланды никита богословский,никита богословский шаланды полные кефали поет марк бернес,100
