Titulo,Autor,Ano
А снег идёт,Андрей Эшпай / Евгений Евтушенко,1961
Бомбардировщики,Jimmy McHugh / Т. Сикорская / С. Болотин,1943
Вальс расставания,Я.Френкель / К.Ваншенкин,1965
Весна идёт,И. Дунаевский / М. Вольпин,1947
Все стало вокруг голубым и зелёным,Юрий Милютин / Евг. Долматовский,1941
В парке Чаир,К. Листов / П. Арский,1938
"Где же вы теперь, друзья однополчане",А. Фатьянов / В. Соловьёв-Седой,1947
Главное ребята сердцем не стареть,А. Пахмутова / С. Гребенников / Н. Добронравов,1962
"Гори, гори, моя звезда",Пётр Булахов / Владимир Чуевский,1846
Да разве сердце позабудет,Александра Пахмутова / Николай Добронравов,1984
Джон Грей,Матвей Блантер,
Дорогие мои москвичи,И. Дунаевский / В. Масс / М. Червинский,1947
Журавли,Я.Френкель / Р.Гамзатов / Н.Гребнев,1965
Закон Архимеда наоборот,В. Людвиковский / А. Олицкий,
Зима,,
Колыбельная,И. Дунаевский,1936
Ландыши,О. Фельцман / О. Фадеева (Кляйнер),1958
Луна,А. Варламов / R. Rodgers,1938
Любимый город,,
Люблю / Вдыхая розы аромат,Ефим Розенфельд / Николай Венгерский,1939
Мишка с куклой,Мария Качурбина,
Нам нужна одна победа,,
Песенка о медведях,А. Зацепин,1967
Песня о Москве (Лучший город земли),А. Бабаджанян / Л. Дербенёв,1964
Пой мне,А. Варламов,1938
Портрет,Г. Гольд / М.Орцеви,
Радостный день,А. Цфасман,1948
Романс,А. Цфасман,
Сердце / Как много девушек хороших,Василий Лебедев-Кумач / Исаак Дунаевский,1934
Серенада Трубадура «Луч солнца золотого…»,Геннадий Гладков / Юрий Энтин,1973
Старый рояль,Марк Минков/ Дмитрий Иванов,1983
Уходит вечер,А. Варламов / Н. Коваль,1938
Цветущий Май,А. Полонский,1939
Шаланды,Никита Богословский / Владимир Агатов,1943
Эти глаза напротив,Д. Тухманов / Т. Сашко,1970
Я шагаю по Москве,Андрей Петров / Геннадий Шпаликов,
12th Street Rag,Euday L. Bowman,1914
26 – 2,John Coltrane,1960
42nd Street,Harry Warren / Al Dublin,1933
500 Miles High,Chick Corea / Neville Potter,1972
502 Blues,Jimmy Rowles,1958
52nd Street Theme,Th. Monk,1944
9:20 Special,Earle Warren / Jack Palmer / William Engvick,1941
"Beautiful Friendship, A",,
A Bientot,Billy Taylor,1988
A Chicken Ain’t Nothing But A Bird,L. Jordan,1940
A Felicidade,Antônio Carlos Jobim / Vinícius de Moraes,1958
A Fine Romance,Jerome Kern / Dorothy Fields,1936
A Foggy Day,George Gershwin / Ira Gershwin,1937
A Lot of Livin’ to Do,,
A Night in Tunisia,Dizzy Gillespie,1942
A Smooth One,Benny Goodman,1941
A Song for Nicholas,,
A Sound For Sore Ears,Jimmy Heath,1969
A String of Pearls,Jerry Gray / Eddie DeLange,1941
A Sunbonnet Blue,Sammy Fain / Irviung Kahal,1937
A Time For Love,Johnny Mande / Paul Francis Webster,1966
"A-Tisket, A-Tasket",Ella Fitzgerald / Al Feldman,1938
About A Quarter To Nine,Harry Warren / Al Dubin,1935
Ac-Cent-Tchu-Ate The Positive,Harold Arlen / Johnny Mercer,1944
Ac-Dc Current,Benny Goodman / Lionel Hampton / Charlie Christian,1937
Ace in the Hole,Cole Porter,1941
Across The Alley From The Alamo,Joe Greene,1946
Adagio,Tomaso Albinoni,
Adam`s Apple,Wayne Shorter,1966
Africa,John Coltrane,1961
African Queen,Horace Silver,1966
Afro Blue,Mongo Santamaria,1959
Afro Centric,,
After You`ve Gone,"Turner Layton, Henry Creamer",1918
Afternoon In Paris,John Lewis,1949
Água de Beber,,
Água de Beber,Antônio Carlos Jobim / Vinicius de Moraes,1963
Ah-Leu-Cha (duo),Charlie Parker,1948
Ah-Leu-Cha,Charlie Parker,1948
Ain`t Misbehavin,"Fats Waller, Harry Brooks, Andy Razaf",1929
Ain’t Nobody’s Bizness If I Do,Porter Grainger / Everett Robbins,1922
Ain`t She Sweet,Milton Ager/ Jack Yellen,1927
Airegin,Sonny Rollins,1954
Airmail Special,Benny Goodman / James Mundy / Charlie Christian,1941
Aisha,,
Alcoholic Blues,Albert Von Tilzer / Edward Laska,1919
Alexander`s Ragtime Band,Irving Berlin,1911
Alfie,Burt Bacharach / Hal David,1966
Alfie`s Theme,Sonny Rollins,1966
